Population	Continental Group	Phase 3 Red	Phase 3 Green	Phase 3 Blue	P3 Hex Value
ESN	AFR	255	205	0	#FFCD0
GWD	AFR	255	185	0	#FFB90
LWK	AFR	204	153	51	#CC9933
MSL	AFR	225	185	25	#E1B919
YRI	AFR	255	185	51	#FFB933
ACB	AFR	255	153	0	#FF990
ASW	AFR	255	102	0	#FF660
CLM	AMR	204	51	51	#CC3333
MXL	AMR	225	0	51	#E1033
PEL	AMR	255	0	0	#FF00
PUR	AMR	204	51	0	#CC330
CDX	EAS	51	153	0	#33990
CHB	EAS	173	205	0	#ADCD0
CHS	EAS	0	255	0	#0FF0
JPT	EAS	0	139	0	#08B0
KHV	EAS	0	204	51	#0CC33
CEU	EUR	0	0	255	#00FF
FIN	EUR	0	197	205	#0C5CD
GBR	EUR	0	235	255	#0EBFF
IBS	EUR	100	149	237	#6495ED
TSI	EUR	0	0	139	#008B
BEB	SAS	139	0	139	#8B08B
GIH	SAS	148	0	211	#940D3
ITU	SAS	176	48	96	#B03060
PJL	SAS	225	18	137	#E11289
STU	SAS	255	0	255	#FF0FF
	AFR	255	205	51	#FFCD33
	AMR	255	61	61	#FF3D3D
	EAS	173	255	51	#ADFF33
	EUR	100	235	255	#64EBFF
	SAS	255	48	255	#FF30FF
