sample	cell	read_type	data_source	project
NA24385	m64004_210224_230828	hifi	PRJNA813010	T2TY
NA24385	m64014_210227_165255	hifi	PRJNA813010	T2TY
NA24385	m64015e_210223_010616	hifi	PRJNA813010	T2TY
NA24385	m64015e_210224_100310	hifi	PRJNA813010	T2TY
NA24385	m54329U_201103_231616	hifi	PRJNA731524	HPRCplus
NA24385	m64076_201013_225902	hifi	PRJNA731524	HPRCplus
NA24385	m64076_201016_191536	hifi	PRJNA731524	HPRCplus
NA24385	m64076_210309_014547	hifi	PRJNA731524	HPRCplus
NA24385	m64076_210310_104300	hifi	PRJNA731524	HPRCplus
NA24385	m64011_190830_220126	hifi	PRJNA586863	PacBio
NA24385	m64011_190901_095311	hifi	PRJNA586863	PacBio
NA24385	m64012_190920_173625	hifi	PRJNA586863	PacBio
NA24385	m64012_190921_234837	hifi	PRJNA586863	PacBio
HG02818	m64043_200209_061852	hifi	PRJNA731524	HPRCplus
HG02818	m64043_200314_004623	hifi	PRJNA731524	HPRCplus
HG02818	m64043_200315_071057	hifi	PRJNA731524	HPRCplus
HG02818	m64043_200318_040100	hifi	PRJNA731524	HPRCplus
HG02818	m64043_200206_173947	hifi	PRJNA339722	HPRCplus
HG02818	m64043_200207_235213	hifi	PRJNA339722	HPRCplus
HG02818	m64043_200316_214923	hifi	PRJNA339722	HPRCplus
NA24143	m64017_191115_211223	hifi	PRJNA626366	PacBio
NA24143	m64017_191118_150849	hifi	PRJNA626366	PacBio
NA24143	m64017_191124_055423	hifi	PRJNA626366	PacBio
NA24143	m64017_191126_155613	hifi	PRJNA626366	PacBio
NA24143	m64017_191127_220906	hifi	PRJNA626366	PacBio
NA24143	m64017_191129_043425	hifi	PRJNA626366	PacBio
NA24149	m64017_191120_193948	hifi	PRJNA626365	PacBio
NA24149	m64017_191122_184406	hifi	PRJNA626365	PacBio
NA24149	m64017_191202_204405	hifi	PRJNA626365	PacBio
NA24149	m64017_191204_164321	hifi	PRJNA626365	PacBio
NA24149	m64017_191205_225630	hifi	PRJNA626365	PacBio
NA24149	m64017_191207_052215	hifi	PRJNA626365	PacBio
