sample	ont_contam	hifi_contam	hifi_center	ont_center
NA19238	0.0155	0.0044	MIX	UW
NA19239	0.0142	0.0046	MIX	JAX
NA19240	0.0156	0.0043	MIX	UW
HG00731	0.015	0.0037	MIX	JAX
HG00732	0.0148	0.0044	UW	UW
HG00733	0.0207	0.0036	UW	MIX
HG00512	0.016	0.0045	UMIGS	JAX
HG00513	0.0129	0.0056	UMIGS	UW
HG00514	0.0136	0.0047	MIX	UW
HG03732	0.0159	0.0036	JAX	JAX
HG01573	0.0133	0.0047	UW	UW
HG00171	0.0141	0.004	UW	UW
HG02587	0.0145	0.004	UW	UW
HG01114	0.0141	0.005	UW	UW
HG02018	0.0164	0.0039	UW	UW
NA19036	0.0147	0.0047	UW	UW
NA12329	0.0139	0.0042	UW	UW
HG02011	0.0147	0.0037	JAX	JAX
NA19983	0.0165	0.0042	UW	UW
HG03371	0.0153	0.0041	JAX	JAX
HG02492	0.016	0.005	JAX	JAX
HG03009	0.0161	0.0037	JAX	JAX
HG03683	0.0157	0.0044	UW	UW
HG03065	0.016	0.0038	JAX	JAX
NA18534	0.0148	0.0043	JAX	JAX
HG01505	0.0147	0.0037	JAX	JAX
NA19650	0.0151	0.0042	JAX	JAX
NA18939	0.0116	0.0043	UW	UW
HG00864	0.0144	0.0043	UW	UW
NA20847	0.013	0.0048	UW	UW
NA20509	0.0143	0.0048	JAX	JAX
HG00096	0.0111	0.0132	JAX	JAX
HG01596	0.0111	0.0173	JAX	JAX
NA24385	0	0	EXT	EXT
NA12878	0	0	EXT	EXT
HG02818	0.0221	0.0044	EXT	UW
HG03125	0	0.005	EXT	EXT
HG03486	0	0.0045	EXT	EXT
HG01352	0.0207	0.0047	UW	UW
HG02059	0.0199	0.0051	UW	UW
NA19434	0.0209	0.0041	UMIGS	JAX
HG04217	0.0204	0.0043	JAX	JAX
HG03807	0.0208	0.0036	JAX	JAX
NA19836	0.0205	0.0084	UMIGS	JAX
HG02106	0.0186	0.0039	JAX	JAX
HG00268	0.0178	0.0043	JAX	JAX
GM20355	0.0206	0.0041	UW	UW
GM19320	0	0	UW	UW
GM19129	0.021	0.0048	UW	UW
HG02769	0.0293	0.0044	UW	UW
HG03452	0.0207	0.0039	UW	UW
HG03520	0.0204	0.0046	UMIGS	JAX
HG02282	0.0192	0.0044	UMIGS	JAX
HG02554	0.0663	0.0052	UW	UW
HG02953	0.0228	0.0049	UW	UW
GM21487	0.0187	0.0336	UW	UW
NA18989	0.019	0.0038	JAX	JAX
NA19331	0.0208	0.0044	JAX	JAX
HG02666	0.0192	0	JAX	JAX
NA19317	0.0194	0.0043	JAX	JAX
NA19347	0.0205	0.0045	JAX	JAX
HG03248	0.0232	0.0044	JAX	JAX
HG04036	0.0187	0.0336	UW	UW
HG01457	0.0197	0.0038	JAX	JAX
NA19384	0.0237	0.0039	JAX	JAX
HG01890	0.0161	0.0033	JAX	JAX
NA19705	0.015	0.004	JAX	JAX
HG03456	0.0151	0.0036	JAX	JAX
HG00358	0.0155	0.0045	JAX	JAX
